#;Callsign;Departure_Time;Destination Info;Origin Info;Routing;Aircraft Type;Cruise Speed (knots);km/h;Max Ceiling (FL);Default RFL;Time Duration;Schedule Arrival Time;path;Altitude;Speed;Speed_multiplied
1;MI320;05.00.00;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;07.00.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,33000,33000,33000,33000,12000];[145,490,490,490,490,160];[1160, 3920, 3920, 3920, 3920, 1280]
2;3K683;05.00.20;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;08.10.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,41000,41000,41000,41000,12000];[145,500,500,500,500,160];[1160, 4000, 4000, 4000, 4000, 1280]
3;AK700;05.00.40;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;08.45.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,38000,38000,38000,38000,12000];[160,425,425,425,425,160];[1280, 3400, 3400, 3400, 3400, 1280]
4;AK702;05.01.00;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;10.10.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,33000,33000,33000,33000,12000];[160,425,425,425,425,150];[1280, 3400, 3400, 3400, 3400, 1200]
5;3K663;05.01.20;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;10.35.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,38000,38000,38000,38000,12000];[145,425,425,425,425,145];[1160, 3400, 3400, 3400, 3400, 1160]
6;TR2454;05.01.40;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;10.45.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,36000,36000,36000,36000,7000];[145,450,450,450,450,145];[1160, 3600, 3600, 3600, 3600, 1160]
7;MI326;05.02.00;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;11.15.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,33000,33000,33000,33000,12000];[160,425,425,425,425,160];[1280, 3400, 3400, 3400, 3400, 1280]
8;AK704;05.02.20;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;11.30.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,41000,41000,41000,41000,12000];[145,425,425,425,425,145];[1160, 3400, 3400, 3400, 3400, 1160]
9;AK706;05.02.40;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;12.40.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,38000,38000,38000,38000,7000];[150,425,425,425,425,150];[1200, 3400, 3400, 3400, 3400, 1200]
10;MI328;05.03.00;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;13.45.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,31000,31000,31000,31000,7000];[145,450,450,450,450,145];[1160, 3600, 3600, 3600, 3600, 1160]
11;3K685;05.03.20;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;13.50.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,31000,31000,31000,31000,12000];[150,425,425,425,425,150];[1200, 3400, 3400, 3400, 3400, 1200]
12;AK710;05.03.40;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;14.30.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,36000,36000,36000,36000,12000];[155,475,475,475,475,155];[1240, 3800, 3800, 3800, 3800, 1240]
13;AK712;05.04.00;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;15.10.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,33000,33000,33000,33000,7000];[155,475,475,475,475,145];[1240, 3800, 3800, 3800, 3800, 1160]
14;MI330;05.04.20;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;16.25.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,31000,31000,31000,31000,12000];[160,500,500,500,500,145];[1280, 4000, 4000, 4000, 4000, 1160]
15;AK714;05.04.40;WMKK;WSSS;WSSS_WMKK;A320;450;;410;FL260;01.00.00;17.10.00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,31000,31000,31000,31000,7000];[150,490,490,490,490,160];[1200, 3920, 3920, 3920, 3920, 1280]
